Timestamp,Score,Teie vanus,Teie sugu,Kõrgeim omandatud haridustase,Kas te olete kunagi õppinud või töötanud tehisintellekti valdkonnas?,Kas olete sarnast testi varem teinud?,"Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kas see teos on inimese loodud?,"Kui paljud inimesed teie arvates vastavad, et selle teose on loonud inimene? [Ma ütleks...]",Kas see teos on inimese loodud?,"Kui paljud inimesed teie arvates vastavad, et selle teose on loonud inimene? [Ma ütleks...]"
4/22/2020 11:15:48,7 / 10,45,N,Bakalaureusekraad,Ei,Ei,Pigem jah,60%,Pigem ei,50%,Pigem ei,30%,Pigem ei,50%,Pigem vasakpoolne,30%,Pigem parempoolne,30%,Pigem vasakpoolne,60%,Pigem vasakpoolne,50%,Pigem ei,50%,Pigem ei,30%
4/22/2020 17:04:18,9 / 10,37,M,Bakalaureusekraad,Ei,Ei,Pigem jah,70%,Pigem ei,80%,Pigem ei,40%,Pigem ei,80%,Pigem vasakpoolne,60%,Pigem parempoolne,50%,Pigem parempoolne,40%,Kindlasti vasakpoolne,50%,Pigem jah,50%,Pigem ei,70%
4/22/2020 18:48:45,6 / 10,28,N,MSc,Ei,Ei,Pigem jah,50%,Pigem ei,40%,Pigem jah,60%,Pigem jah,50%,Pigem vasakpoolne,30%,Pigem vasakpoolne,50%,Pigem parempoolne,30%,Pigem parempoolne,60%,Pigem ei,40%,Pigem ei,20%
4/22/2020 19:25:36,4 / 10,33,N,MSc,Ei,Ei,Pigem ei,10%,Pigem ei,60%,"Jah, kindlasti",80%,Pigem jah,50%,Kindlasti parempoolne,10%,Pigem parempoolne,40%,Kindlasti vasakpoolne,70%,Kindlasti parempoolne,50%,Pigem ei,80%,Pigem ei,40%
4/22/2020 20:12:47,5 / 10,39,N,PhD,Ei,Ei,Pigem ei,30%,Pigem jah,60%,Pigem ei,50%,Pigem ei,60%,Pigem parempoolne,10%,Pigem vasakpoolne,80%,Pigem parempoolne,50%,Kindlasti vasakpoolne,90%,Pigem jah,70%,Pigem ei,20%
4/23/2020 15:13:44,6 / 10,21,N,Keskharidus,Ei,Ei,Kindlasti mitte,40%,Pigem ei,80%,Pigem ei,50%,Pigem ei,50%,Pigem parempoolne,30%,Kindlasti vasakpoolne,40%,Pigem parempoolne,60%,Kindlasti vasakpoolne,70%,"Jah, kindlasti",80%,Kindlasti mitte,80%
4/23/2020 17:47:52,4 / 10,49,M,Bakalaureusekraad,Jah,Jah,Pigem ei,50%,Ma ei tea,60%,Pigem ei,60%,Pigem ei,60%,Pigem parempoolne,50%,Kindlasti vasakpoolne,50%,Ma ei tea,50%,Kindlasti vasakpoolne,50%,Pigem jah,60%,Pigem ei,20%
4/23/2020 20:47:10,6 / 10,37,N,MSc,Ei,Ei,Pigem jah,90%,Pigem jah,80%,Pigem jah,80%,Pigem jah,60%,Pigem parempoolne,30%,Pigem vasakpoolne,60%,Pigem parempoolne,30%,Kindlasti vasakpoolne,90%,Pigem jah,50%,Pigem ei,30%
4/24/2020 11:27:08,8 / 10,57,M,Keskharidus,Ei,Ei,Pigem jah,40%,Pigem ei,30%,"Jah, kindlasti",50%,Ma ei tea,40%,Pigem vasakpoolne,50%,Pigem parempoolne,30%,Pigem parempoolne,30%,Kindlasti vasakpoolne,50%,Ma ei tea,40%,Kindlasti mitte,60%
4/24/2020 11:44:37,6 / 10,30,M,Bakalaureusekraad,Ei,Ei,"Jah, kindlasti",100%,Kindlasti mitte,100%,"Jah, kindlasti",100%,"Jah, kindlasti",100%,Kindlasti parempoolne,100%,Kindlasti parempoolne,100%,Kindlasti parempoolne,100%,Kindlasti parempoolne,100%,Kindlasti mitte,100%,Kindlasti mitte,100%
4/24/2020 14:37:11,6 / 10,43,N,Bakalaureusekraad,Ei,Ei,Pigem jah,70%,Pigem jah,70%,Pigem jah,80%,Kindlasti mitte,90%,Pigem parempoolne,10%,Pigem parempoolne,60%,Pigem vasakpoolne,60%,Pigem vasakpoolne,20%,Pigem ei,70%,Pigem ei,20%
4/24/2020 18:08:40,3 / 10,48,M,Bakalaureusekraad,Ei,Ei,Pigem jah,80%,Pigem jah,80%,Ma ei tea,50%,Pigem jah,70%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Pigem ei,50%,Pigem ei,50%
4/24/2020 18:30:33,4 / 10,45,N,Bakalaureusekraad,Ei,Ei,Pigem jah,50%,Pigem ei,50%,Kindlasti mitte,0%,Pigem jah,80%,Pigem parempoolne,50%,Kindlasti vasakpoolne,100%,Kindlasti parempoolne,70%,Kindlasti parempoolne,50%,Pigem ei,70%,Pigem ei,70%
4/24/2020 20:02:43,4 / 10,24,M,Keskharidus,Ei,Ei,Pigem ei,70%,Kindlasti mitte,30%,Kindlasti mitte,30%,Pigem jah,90%,Pigem parempoolne,10%,Pigem parempoolne,20%,Kindlasti vasakpoolne,80%,Pigem vasakpoolne,60%,Pigem ei,50%,Pigem ei,30%
4/24/2020 20:13:53,4 / 10,32,N,MSc,Ei,Ei,Pigem ei,80%,Pigem jah,80%,Pigem jah,80%,Pigem ei,50%,Pigem parempoolne,20%,Pigem vasakpoolne,50%,Pigem parempoolne,60%,Kindlasti vasakpoolne,90%,Pigem ei,40%,Ma ei tea,50%
4/24/2020 20:44:26,5 / 10,46,M,Keskharidus,Ei,Ei,Pigem ei,50%,"Jah, kindlasti",90%,"Jah, kindlasti",90%,"Jah, kindlasti",70%,Kindlasti vasakpoolne,70%,Kindlasti parempoolne,50%,Kindlasti parempoolne,80%,Kindlasti parempoolne,80%,Kindlasti mitte,40%,Kindlasti mitte,60%
4/24/2020 22:07:14,7 / 10,29,N,MSc,Ei,Ei,Pigem jah,70%,Pigem jah,50%,"Jah, kindlasti",60%,Pigem jah,50%,Pigem vasakpoolne,60%,Pigem vasakpoolne,40%,Pigem parempoolne,30%,Kindlasti vasakpoolne,80%,Pigem jah,70%,Pigem ei,40%
4/24/2020 23:12:30,4 / 10,54,M,MSc,Ei,Ei,Pigem jah,80%,Pigem ei,60%,Pigem jah,70%,Pigem jah,90%,Pigem parempoolne,80%,Pigem vasakpoolne,70%,Pigem vasakpoolne,80%,Pigem vasakpoolne,70%,Ma ei tea,60%,Ma ei tea,30%
4/24/2020 23:12:53,6 / 10,45,N,MSc,Ei,Ei,Pigem jah,50%,Pigem ei,60%,Kindlasti mitte,20%,Pigem ei,50%,Pigem parempoolne,30%,Pigem parempoolne,50%,Pigem vasakpoolne,70%,Pigem parempoolne,50%,Pigem jah,50%,Pigem ei,50%
4/24/2020 23:45:09,4 / 10,25,N,Keskharidus,Ei,Ei,Kindlasti mitte,0%,Pigem ei,40%,Pigem ei,20%,Pigem ei,60%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem vasakpoolne,30%,Pigem parempoolne,30%,Pigem ei,30%,Pigem ei,20%
4/25/2020 9:53:56,8 / 10,35,N,MSc,Ei,Ei,Pigem ei,70%,Pigem jah,70%,Pigem jah,50%,Pigem ei,50%,Pigem vasakpoolne,50%,Pigem parempoolne,70%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem jah,50%,Pigem ei,50%
4/25/2020 10:34:25,2 / 10,52,M,MSc,Ei,Ei,Pigem ei,80%,Ma ei tea,30%,Ma ei tea,30%,Ma ei tea,40%,Pigem parempoolne,30%,Pigem parempoolne,30%,Pigem vasakpoolne,30%,Pigem vasakpoolne,30%,Ma ei tea,30%,Ma ei tea,30%
4/25/2020 12:58:42,8 / 10,39,M,Bakalaureusekraad,Ei,Ei,Pigem ei,20%,Kindlasti mitte,50%,Pigem ei,20%,Kindlasti mitte,70%,Kindlasti vasakpoolne,70%,Kindlasti parempoolne,70%,Kindlasti parempoolne,70%,Kindlasti vasakpoolne,70%,"Jah, kindlasti",70%,Kindlasti mitte,80%
4/25/2020 13:24:54,8 / 10,31,N,MSc,Ei,Ei,"Jah, kindlasti",90%,Pigem ei,60%,Pigem ei,50%,Pigem ei,50%,Pigem vasakpoolne,60%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem jah,70%,Pigem ei,40%
4/25/2020 16:00:15,5 / 10,25,N,MSc,Ei,Ei,Pigem ei,50%,Pigem jah,70%,Pigem ei,40%,Pigem jah,70%,Pigem parempoolne,40%,Pigem parempoolne,70%,Pigem parempoolne,40%,Pigem vasakpoolne,50%,Pigem jah,70%,Pigem ei,50%
4/25/2020 16:28:57,3 / 10,35,M,Keskharidus,Ei,Ei,Pigem jah,50%,Pigem ei,50%,Pigem ei,50%,Pigem jah,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem jah,40%,Ma ei tea,50%
4/25/2020 19:02:16,5 / 10,17,M,Põhiharidus,Ei,Ei,Kindlasti mitte,80%,Pigem jah,70%,Kindlasti mitte,50%,"Jah, kindlasti",90%,Kindlasti vasakpoolne,50%,Kindlasti vasakpoolne,80%,Kindlasti parempoolne,40%,Kindlasti vasakpoolne,80%,Pigem jah,60%,Pigem ei,30%
4/25/2020 22:04:45,5 / 10,31,N,MSc,Ei,Ei,Pigem ei,50%,Pigem ei,50%,Pigem jah,50%,Pigem ei,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem ei,50%,Pigem ei,50%
4/26/2020 8:34:58,7 / 10,41,N,MSc,Ei,Ei,Pigem jah,90%,Pigem ei,70%,Pigem ei,50%,Pigem ei,80%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,30%,Pigem jah,90%,Pigem ei,20%
4/26/2020 10:08:35,6 / 10,33,M,Keskharidus,Ei,Ei,Pigem jah,60%,Pigem ei,50%,Pigem ei,40%,Pigem ei,40%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem parempoolne,60%,Pigem parempoolne,60%,Pigem jah,70%,Pigem ei,40%
4/26/2020 11:26:52,7 / 10,45,N,Bakalaureusekraad,Ei,Ei,Pigem ei,70%,Kindlasti mitte,30%,Pigem ei,40%,Pigem jah,50%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem vasakpoolne,60%,"Jah, kindlasti",60%,Pigem ei,40%
4/26/2020 12:35:18,5 / 10,17,N,Põhiharidus,Ei,Ei,Pigem ei,40%,Pigem jah,70%,Pigem ei,40%,Pigem ei,70%,Pigem vasakpoolne,70%,Pigem vasakpoolne,80%,Pigem parempoolne,60%,Pigem vasakpoolne,50%,Pigem ei,40%,Pigem ei,30%
4/26/2020 12:40:18,7 / 10,23,N,Bakalaureusekraad,Ei,Ei,Pigem jah,60%,Pigem ei,50%,Pigem jah,70%,Pigem ei,60%,Pigem vasakpoolne,70%,Kindlasti vasakpoolne,80%,Pigem vasakpoolne,70%,Pigem vasakpoolne,50%,Ma ei tea,60%,Pigem ei,40%
4/26/2020 13:12:40,7 / 10,36,N,MSc,Jah,Ei,"Jah, kindlasti",100%,Pigem jah,80%,"Jah, kindlasti",90%,Pigem ei,40%,Pigem parempoolne,60%,Kindlasti parempoolne,30%,Kindlasti vasakpoolne,50%,Kindlasti vasakpoolne,50%,Pigem jah,80%,Pigem ei,60%
4/26/2020 14:34:31,9 / 10,27,N,MSc,Ei,Ei,"Jah, kindlasti",90%,Pigem ei,70%,Pigem ei,60%,Pigem ei,70%,Pigem vasakpoolne,50%,Pigem parempoolne,70%,Pigem parempoolne,50%,Pigem vasakpoolne,60%,Pigem jah,70%,Pigem ei,20%
4/26/2020 14:44:36,5 / 10,35,N,MSc,Ei,Ei,Pigem ei,40%,Pigem jah,50%,Pigem jah,50%,Pigem ei,40%,Pigem parempoolne,30%,Pigem vasakpoolne,50%,Pigem vasakpoolne,40%,Pigem vasakpoolne,40%,Pigem jah,40%,Pigem ei,50%
4/26/2020 15:01:39,6 / 10,29,N,PhD,Ei,Ei,Pigem ei,30%,Pigem jah,80%,Pigem jah,70%,Pigem jah,70%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,60%,Pigem vasakpoolne,60%,Pigem jah,60%,Pigem jah,50%
4/26/2020 15:08:45,5 / 10,34,N,MSc,Ei,Ei,Pigem jah,80%,Pigem ei,50%,Pigem ei,70%,Ma ei tea,50%,Pigem parempoolne,80%,Pigem vasakpoolne,80%,Ma ei tea,50%,Pigem vasakpoolne,70%,Pigem jah,70%,Kindlasti mitte,80%
4/26/2020 15:12:52,6 / 10,30,M,MSc,Ei,Ei,Pigem jah,80%,Pigem ei,60%,Pigem jah,70%,Pigem jah,80%,Pigem parempoolne,50%,Kindlasti vasakpoolne,90%,Pigem vasakpoolne,70%,Pigem vasakpoolne,80%,"Jah, kindlasti",80%,Pigem ei,20%
4/26/2020 16:25:05,8 / 10,24,N,Bakalaureusekraad,Ei,Ei,"Jah, kindlasti",70%,Pigem ei,30%,Pigem ei,50%,Kindlasti mitte,20%,Pigem vasakpoolne,50%,Kindlasti vasakpoolne,70%,Pigem parempoolne,30%,Pigem vasakpoolne,70%,Pigem jah,70%,Pigem ei,20%
4/26/2020 16:25:06,8 / 10,34,N,MSc,Ei,Ei,Pigem jah,70%,Pigem ei,50%,Pigem jah,60%,Pigem jah,60%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Pigem parempoolne,60%,Pigem vasakpoolne,70%,Pigem jah,70%,Pigem ei,20%
4/26/2020 17:38:56,8 / 10,42,N,Bakalaureusekraad,Ei,Jah,"Jah, kindlasti",70%,Pigem jah,60%,"Jah, kindlasti",70%,"Jah, kindlasti",60%,Kindlasti vasakpoolne,50%,Pigem parempoolne,60%,Pigem parempoolne,70%,Kindlasti vasakpoolne,70%,Pigem jah,50%,Pigem ei,50%
4/26/2020 17:39:32,6 / 10,28,N,Bakalaureusekraad,Ei,Ei,Pigem ei,50%,Pigem jah,60%,Pigem jah,60%,Pigem ei,30%,Pigem vasakpoolne,60%,Pigem parempoolne,40%,Pigem vasakpoolne,50%,Pigem parempoolne,60%,Pigem jah,60%,Kindlasti mitte,20%
4/26/2020 17:41:39,7 / 10,24,N,Keskharidus,Ei,Ei,Pigem ei,70%,Pigem ei,70%,"Jah, kindlasti",80%,Ma ei tea,60%,Pigem vasakpoolne,50%,Kindlasti vasakpoolne,80%,Pigem parempoolne,50%,Kindlasti vasakpoolne,70%,Pigem jah,60%,Pigem ei,50%
4/26/2020 21:41:02,6 / 10,28,N,Bakalaureusekraad,Jah,Ei,"Jah, kindlasti",90%,Pigem ei,70%,Pigem jah,80%,Pigem jah,80%,Pigem parempoolne,80%,Pigem vasakpoolne,80%,Pigem parempoolne,70%,Pigem parempoolne,50%,Pigem jah,50%,Kindlasti mitte,60%
4/26/2020 21:55:42,5 / 10,34,N,Keskharidus,Ei,Ei,Pigem ei,80%,Pigem ei,80%,Pigem jah,80%,Pigem ei,70%,Pigem parempoolne,60%,Kindlasti vasakpoolne,90%,Pigem vasakpoolne,50%,Kindlasti vasakpoolne,70%,Ma ei tea,80%,Kindlasti mitte,100%
4/26/2020 22:08:50,5 / 10,45,N,Bakalaureusekraad,Ei,Ei,Pigem ei,10%,Pigem ei,20%,Kindlasti mitte,10%,Pigem jah,20%,Pigem vasakpoolne,20%,Pigem parempoolne,30%,Pigem parempoolne,30%,Pigem parempoolne,20%,Pigem ei,30%,Pigem ei,20%
4/26/2020 22:37:03,8 / 10,30,N,Bakalaureusekraad,Ei,Ei,"Jah, kindlasti",80%,Pigem ei,40%,"Jah, kindlasti",80%,Pigem jah,50%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Kindlasti parempoolne,70%,Pigem vasakpoolne,70%,Pigem jah,50%,Ma ei tea,50%
4/26/2020 23:29:27,9 / 10,31,M,Keskharidus,Jah,Ei,"Jah, kindlasti",90%,Pigem ei,80%,Pigem jah,90%,Kindlasti mitte,60%,Pigem vasakpoolne,80%,Pigem parempoolne,70%,Pigem vasakpoolne,80%,Pigem vasakpoolne,80%,"Jah, kindlasti",80%,Pigem ei,70%
4/27/2020 0:10:17,4 / 10,54,M,Keskharidus,Ei,Ei,Pigem ei,50%,Pigem ei,50%,Pigem jah,50%,Pigem ei,80%,Pigem parempoolne,80%,Pigem vasakpoolne,70%,Pigem vasakpoolne,60%,Pigem parempoolne,50%,Ma ei tea,50%,Pigem ei,60%
4/27/2020 10:09:35,4 / 10,45,N,MSc,Ei,Ei,Pigem ei,50%,Pigem jah,50%,Pigem ei,50%,Pigem jah,50%,Kindlasti vasakpoolne,50%,Kindlasti parempoolne,50%,Kindlasti parempoolne,50%,Kindlasti parempoolne,50%,Pigem ei,50%,Pigem ei,50%
4/27/2020 13:49:19,5 / 10,35,M,Keskharidus,Ei,Ei,Pigem ei,50%,Kindlasti mitte,50%,Pigem ei,50%,Pigem ei,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem ei,50%,Pigem ei,50%
4/27/2020 15:01:25,6 / 10,34,M,Keskharidus,Ei,Ei,Pigem jah,70%,Pigem ei,50%,Pigem ei,40%,Pigem jah,80%,Pigem vasakpoolne,70%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem parempoolne,60%,Pigem jah,60%,Kindlasti mitte,30%
4/27/2020 17:23:31,5 / 10,41,N,PhD,Ei,Ei,Pigem jah,80%,Pigem ei,50%,Pigem ei,10%,Ma ei tea,50%,Pigem parempoolne,50%,Ma ei tea,50%,Pigem vasakpoolne,60%,Pigem vasakpoolne,50%,Pigem jah,70%,Pigem ei,20%
4/27/2020 19:48:37,5 / 10,54,N,MSc,Ei,Ei,Pigem jah,30%,Pigem jah,50%,Pigem jah,50%,Pigem jah,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem jah,50%,Pigem jah,50%
4/27/2020 21:20:24,7 / 10,24,N,MSc,Ei,Ei,Pigem jah,80%,Ma ei tea,40%,Pigem jah,50%,Pigem jah,60%,Pigem parempoolne,80%,Pigem parempoolne,70%,Pigem parempoolne,30%,Kindlasti vasakpoolne,70%,Pigem jah,50%,Pigem ei,30%
4/27/2020 21:51:20,6 / 10,39,M,MSc,Jah,Ei,Pigem jah,90%,Pigem jah,90%,Pigem ei,50%,Pigem jah,60%,Kindlasti vasakpoolne,70%,Kindlasti parempoolne,60%,Kindlasti parempoolne,60%,Kindlasti vasakpoolne,70%,Pigem jah,80%,Pigem jah,70%
4/28/2020 11:36:22,7 / 10,43,N,Keskharidus,Ei,Ei,Pigem ei,40%,Pigem jah,70%,Pigem ei,30%,Pigem ei,50%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem jah,50%,Pigem ei,40%
4/28/2020 15:17:02,6 / 10,46,N,Bakalaureusekraad,Ei,Ei,Pigem jah,60%,Pigem ei,50%,Pigem ei,40%,Pigem jah,60%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem jah,50%,Ma ei tea,60%
4/28/2020 15:36:57,8 / 10,21,N,Keskharidus,Ei,Ei,Pigem ei,40%,Pigem ei,20%,"Jah, kindlasti",70%,Pigem ei,40%,Pigem vasakpoolne,30%,Pigem parempoolne,70%,Pigem parempoolne,50%,Pigem parempoolne,70%,"Jah, kindlasti",80%,Kindlasti mitte,20%
