Timestamp,Score,Teie vanus,Teie sugu,Kõrgeim omandatud haridustase,Kas te olete kunagi õppinud või töötanud tehisintellekti valdkonnas?,Kas olete sarnast testi varem teinud?,"Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kas see teos on inimese loodud?,"Kui paljud inimesed teie arvates vastavad, et selle teose on loonud inimene? [Ma ütleks...]",Kas see teos on inimese loodud?,"Kui paljud inimesed teie arvates vastavad, et selle teose on loonud inimene? [Ma ütleks...]"
4/22/2020 9:58:16,3 / 10,28,N,Magistrikraad,Ei,Ei,Pigem jah,90%,Ma ei tea,70%,Pigem ei,40%,Ma ei tea,50%,Kindlasti vasakpoolne,60%,Kindlasti parempoolne,60%,Kindlasti vasakpoolne,70%,Kindlasti parempoolne,70%,Ma ei tea,30%,Pigem jah,70%
4/22/2020 10:39:09,7 / 10,31,N,Bakalaureusekraad,Ei,Ei,Pigem jah,70%,Pigem ei,30%,Pigem jah,80%,Pigem ei,30%,Kindlasti parempoolne,20%,Pigem vasakpoolne,70%,Pigem parempoolne,20%,Pigem parempoolne,30%,Pigem jah,60%,Pigem jah,60%
4/22/2020 10:56:53,7 / 10,21,M,Keskharidus,Ei,Ei,Pigem jah,60%,"Jah, kindlasti",70%,"Jah, kindlasti",80%,Pigem ei,70%,Pigem parempoolne,50%,Pigem vasakpoolne,80%,Kindlasti parempoolne,30%,Pigem vasakpoolne,70%,Pigem ei,50%,Pigem ei,80%
4/22/2020 11:44:15,6 / 10,38,N,Bakalaureusekraad,Ei,Ei,Pigem jah,80%,Ma ei tea,70%,Pigem ei,50%,Pigem ei,50%,Pigem parempoolne,70%,Pigem vasakpoolne,60%,Pigem parempoolne,70%,Ma ei tea,50%,Pigem ei,70%,Pigem jah,60%
4/22/2020 12:12:55,7 / 10,35,N,Magistrikraad,Ei,Ei,Pigem ei,10%,Pigem ei,100%,Pigem jah,80%,Pigem ei,80%,Pigem parempoolne,10%,Pigem parempoolne,80%,Pigem parempoolne,80%,Kindlasti vasakpoolne,80%,Pigem ei,10%,Pigem jah,80%
4/22/2020 12:23:36,10 / 10,63,M,Keskharidus,Ei,Ei,Pigem jah,40%,Pigem ei,40%,"Jah, kindlasti",20%,Pigem ei,40%,Pigem vasakpoolne,30%,Kindlasti vasakpoolne,60%,Pigem parempoolne,70%,Pigem vasakpoolne,60%,Pigem ei,40%,Pigem jah,60%
4/22/2020 14:20:21,5 / 10,51,M,Keskharidus,Ei,Ei,Pigem ei,40%,Pigem ei,50%,Pigem ei,60%,Pigem jah,60%,Pigem parempoolne,50%,Pigem vasakpoolne,70%,Pigem parempoolne,40%,Kindlasti vasakpoolne,70%,Ma ei tea,50%,Pigem jah,80%
4/22/2020 14:20:43,6 / 10,21,M,Keskharidus,Ei,Ei,"Jah, kindlasti",80%,Kindlasti mitte,50%,Kindlasti mitte,50%,Pigem ei,40%,Pigem parempoolne,70%,Kindlasti vasakpoolne,80%,Pigem parempoolne,50%,Ma ei tea,30%,Pigem ei,50%,Pigem ei,50%
4/22/2020 16:15:03,9 / 10,44,M,Magistrikraad,Ei,Ei,Pigem jah,70%,Pigem ei,60%,Pigem jah,40%,Pigem jah,70%,Pigem vasakpoolne,30%,Pigem vasakpoolne,30%,Pigem parempoolne,50%,Pigem vasakpoolne,40%,Kindlasti ei,90%,Pigem jah,50%
4/22/2020 18:57:33,5 / 10,32,N,Bakalaureusekraad,Ei,Ei,Pigem jah,70%,Pigem jah,70%,Pigem ei,50%,Pigem jah,70%,Pigem parempoolne,60%,Pigem vasakpoolne,80%,Pigem vasakpoolne,70%,Pigem vasakpoolne,60%,Pigem ei,70%,Pigem jah,80%
4/22/2020 21:09:57,7 / 10,38,M,Keskharidus,Ei,Ei,"Jah, kindlasti",80%,"Jah, kindlasti",80%,Pigem jah,70%,Pigem ei,50%,Kindlasti parempoolne,50%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Ma ei tea,50%,Pigem jah,50%
4/22/2020 23:50:11,6 / 10,38,N,Bakalaureusekraad,Ei,Ei,Pigem ei,60%,Pigem ei,80%,"Jah, kindlasti",50%,Pigem ei,70%,Pigem parempoolne,50%,Kindlasti vasakpoolne,50%,Kindlasti parempoolne,60%,Kindlasti vasakpoolne,50%,Pigem jah,60%,Pigem ei,50%
4/23/2020 11:37:56,5 / 10,20,M,Keskharidus,Jah,Ei,Pigem ei,40%,Pigem ei,20%,"Jah, kindlasti",80%,Pigem jah,70%,Kindlasti parempoolne,20%,Pigem vasakpoolne,70%,Kindlasti parempoolne,20%,Pigem vasakpoolne,50%,Ma ei tea,50%,Ma ei tea,50%
4/23/2020 21:06:02,6 / 10,47,N,Magistrikraad,Ei,Ei,Pigem ei,50%,Ma ei tea,50%,Pigem jah,60%,Pigem jah,60%,Pigem vasakpoolne,50%,Ma ei tea,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem ei,50%,Pigem jah,50%
4/23/2020 22:01:58,3 / 10,33,N,Bakalaureusekraad,Ei,Ei,Pigem ei,60%,Pigem ei,50%,Ma ei tea,30%,Pigem jah,60%,Pigem parempoolne,40%,Pigem parempoolne,40%,Pigem vasakpoolne,40%,Ma ei tea,40%,Pigem ei,40%,Pigem jah,50%
4/24/2020 11:53:20,6 / 10,24,N,Bakalaureusekraad,Ei,Ei,Pigem jah,70%,Pigem ei,60%,Pigem ei,50%,Pigem jah,40%,Pigem parempoolne,70%,Kindlasti vasakpoolne,30%,Pigem parempoolne,30%,Pigem parempoolne,40%,Pigem ei,60%,Pigem jah,80%
4/24/2020 14:21:21,4 / 10,20,N,Keskharidus,Ei,Ei,Pigem ei,40%,"Jah, kindlasti",90%,Kindlasti mitte,60%,Kindlasti mitte,30%,Kindlasti parempoolne,60%,Kindlasti vasakpoolne,70%,Kindlasti vasakpoolne,70%,Kindlasti vasakpoolne,60%,Kindlasti ei,40%,Kindlasti ei,60%
4/24/2020 15:22:04,5 / 10,47,N,Bakalaureusekraad,Ei,Ei,Pigem ei,70%,"Jah, kindlasti",90%,Pigem jah,70%,Pigem jah,80%,Pigem vasakpoolne,70%,Kindlasti vasakpoolne,80%,Kindlasti vasakpoolne,80%,Pigem vasakpoolne,70%,Pigem jah,50%,Pigem jah,60%
4/24/2020 17:57:34,4 / 10,29,M,Magistrikraad,Ei,Ei,Pigem jah,80%,Pigem jah,70%,Pigem jah,70%,Pigem jah,80%,Pigem parempoolne,60%,Pigem vasakpoolne,70%,Pigem vasakpoolne,80%,Pigem vasakpoolne,70%,Pigem jah,70%,Pigem ei,50%
4/24/2020 18:00:06,4 / 10,55,N,Bakalaureusekraad,Ei,Ei,Pigem ei,40%,Ma ei tea,80%,"Jah, kindlasti",90%,Pigem jah,80%,Pigem parempoolne,50%,Pigem parempoolne,50%,Kindlasti vasakpoolne,80%,Pigem vasakpoolne,60%,Pigem ei,40%,Pigem jah,80%
4/24/2020 23:25:04,7 / 10,39,M,Bakalaureusekraad,Ei,Ei,"Jah, kindlasti",90%,Pigem jah,50%,Ma ei tea,30%,Kindlasti mitte,50%,Kindlasti vasakpoolne,90%,Kindlasti vasakpoolne,90%,Kindlasti vasakpoolne,60%,Kindlasti vasakpoolne,40%,Kindlasti ei,20%,Kindlasti jah,30%
4/24/2020 23:47:08,6 / 10,54,M,Doktorikraad,Ei,Ei,Pigem jah,80%,Pigem ei,50%,Pigem ei,50%,"Jah, kindlasti",90%,Pigem vasakpoolne,60%,Pigem vasakpoolne,60%,Pigem parempoolne,70%,Pigem parempoolne,80%,Pigem ei,60%,Pigem ei,60%
4/24/2020 23:48:27,4 / 10,24,M,Magistrikraad,Ei,Ei,Pigem jah,70%,Pigem jah,70%,"Jah, kindlasti",80%,"Jah, kindlasti",90%,Kindlasti parempoolne,80%,Kindlasti vasakpoolne,80%,Pigem vasakpoolne,70%,Pigem parempoolne,70%,Ma ei tea,50%,Pigem jah,60%
4/25/2020 1:06:50,4 / 10,42,N,Doktorikraad,Ei,Ei,Pigem jah,70%,Pigem jah,70%,Pigem jah,60%,Pigem ei,40%,Pigem parempoolne,30%,Pigem vasakpoolne,70%,Pigem vasakpoolne,60%,Pigem parempoolne,70%,Pigem jah,60%,Ma ei tea,50%
4/25/2020 13:40:38,6 / 10,25,N,Bakalaureusekraad,Jah,Ei,Pigem ei,70%,Pigem ei,60%,Pigem jah,60%,Pigem ei,70%,Pigem parempoolne,50%,Pigem vasakpoolne,60%,Pigem vasakpoolne,60%,Pigem vasakpoolne,60%,Pigem ei,30%,Pigem ei,40%
4/25/2020 15:17:12,9 / 10,35,M,Põhiharidus,Jah,Ei,Pigem jah,80%,Pigem ei,80%,Pigem jah,90%,Pigem ei,90%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem jah,80%,Pigem jah,50%
4/25/2020 15:24:37,7 / 10,45,N,Doktorikraad,Ei,Ei,Pigem jah,80%,Pigem ei,60%,Pigem jah,90%,Pigem ei,90%,Pigem parempoolne,80%,Pigem vasakpoolne,70%,Pigem parempoolne,40%,Pigem parempoolne,60%,Pigem jah,60%,Pigem jah,70%
4/25/2020 16:31:38,6 / 10,25,M,Magistrikraad,Ei,Ei,Pigem ei,80%,Pigem ei,50%,Pigem jah,40%,Pigem ei,60%,Pigem vasakpoolne,50%,Pigem parempoolne,80%,Kindlasti parempoolne,80%,Pigem parempoolne,70%,Pigem ei,30%,Pigem ei,50%
4/25/2020 16:36:37,5 / 10,54,M,Bakalaureusekraad,Ei,Ei,Pigem ei,50%,Kindlasti mitte,30%,Pigem jah,70%,Kindlasti mitte,10%,Pigem parempoolne,20%,Pigem parempoolne,20%,Kindlasti parempoolne,20%,Kindlasti parempoolne,10%,Kindlasti ei,20%,Ma ei tea,60%
4/25/2020 16:56:41,6 / 10,46,M,Magistrikraad,Ei,Ei,Pigem jah,80%,Pigem ei,30%,"Jah, kindlasti",90%,Pigem jah,50%,Pigem parempoolne,20%,Kindlasti vasakpoolne,80%,Pigem vasakpoolne,70%,Pigem vasakpoolne,50%,Pigem ei,10%,Pigem ei,40%
4/25/2020 18:25:01,4 / 10,42,M,Keskharidus,Ei,Ei,"Jah, kindlasti",80%,Pigem jah,30%,Pigem ei,50%,Kindlasti mitte,50%,Pigem parempoolne,30%,Ma ei tea,50%,Pigem vasakpoolne,40%,Pigem vasakpoolne,40%,Kindlasti jah,50%,Pigem jah,50%
4/25/2020 19:43:09,9 / 10,35,M,Keskharidus,Jah,Ei,"Jah, kindlasti",80%,Pigem ei,60%,Pigem jah,60%,Kindlasti mitte,60%,Kindlasti parempoolne,50%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Kindlasti vasakpoolne,20%,Pigem ei,50%,Pigem jah,40%
4/25/2020 20:30:25,5 / 10,41,M,Põhiharidus,Ei,Ei,"Jah, kindlasti",80%,Pigem ei,60%,Pigem jah,40%,Pigem jah,70%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Kindlasti vasakpoolne,50%,Pigem parempoolne,50%,Pigem ei,50%,Pigem ei,50%
4/25/2020 20:31:02,7 / 10,47,M,Doktorikraad,Jah,Ei,Pigem jah,60%,Pigem ei,50%,"Jah, kindlasti",60%,Ma ei tea,50%,Kindlasti parempoolne,80%,Pigem vasakpoolne,50%,Pigem vasakpoolne,60%,Pigem vasakpoolne,50%,Pigem ei,30%,Pigem jah,70%
4/25/2020 20:41:29,5 / 10,14,N,Põhiharidus,Ei,Ei,"Jah, kindlasti",50%,"Jah, kindlasti",50%,"Jah, kindlasti",50%,Kindlasti mitte,50%,Kindlasti parempoolne,50%,Kindlasti parempoolne,50%,Kindlasti vasakpoolne,50%,Kindlasti parempoolne,50%,Kindlasti ei,50%,Kindlasti jah,50%
4/25/2020 21:58:29,6 / 10,47,N,Magistrikraad,Ei,Ei,Pigem ei,30%,Pigem ei,10%,Pigem jah,50%,Pigem jah,60%,Pigem parempoolne,60%,Pigem vasakpoolne,50%,Pigem parempoolne,60%,Pigem parempoolne,60%,Pigem ei,60%,Pigem jah,60%
4/25/2020 22:10:59,8 / 10,45,N,Magistrikraad,Ei,Ei,Pigem ei,70%,Pigem ei,80%,"Jah, kindlasti",90%,Pigem jah,90%,Pigem vasakpoolne,40%,Kindlasti vasakpoolne,80%,Pigem parempoolne,70%,Pigem vasakpoolne,30%,Kindlasti ei,40%,Pigem jah,70%
4/26/2020 8:58:49,6 / 10,35,N,Magistrikraad,Ei,Ei,Pigem ei,30%,Pigem jah,60%,Pigem jah,60%,Pigem jah,70%,Pigem vasakpoolne,60%,Pigem vasakpoolne,20%,Pigem parempoolne,50%,Pigem vasakpoolne,20%,Pigem ei,40%,Pigem ei,20%
4/26/2020 11:40:40,7 / 10,37,M,Keskharidus,Ei,Ei,Pigem jah,80%,Kindlasti mitte,80%,Pigem jah,80%,Pigem ei,80%,Ma ei tea,40%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Kindlasti parempoolne,80%,Pigem ei,70%,Kindlasti ei,80%
4/26/2020 12:27:30,8 / 10,42,M,Bakalaureusekraad,Ei,Ei,Pigem ei,80%,Pigem ei,70%,"Jah, kindlasti",90%,Kindlasti mitte,60%,Pigem parempoolne,40%,Kindlasti vasakpoolne,70%,Pigem parempoolne,30%,Kindlasti vasakpoolne,80%,Pigem ei,50%,Pigem jah,80%
4/26/2020 12:56:25,9 / 10,26,N,Magistrikraad,Ei,Ei,"Jah, kindlasti",90%,Kindlasti mitte,40%,Pigem jah,80%,Kindlasti mitte,90%,Kindlasti parempoolne,90%,Kindlasti vasakpoolne,90%,Kindlasti parempoolne,90%,Kindlasti vasakpoolne,90%,Kindlasti ei,40%,Kindlasti jah,90%
4/26/2020 14:04:22,7 / 10,35,M,Bakalaureusekraad,Jah,Ei,"Jah, kindlasti",100%,Ma ei tea,50%,"Jah, kindlasti",100%,Ma ei tea,50%,Kindlasti parempoolne,80%,Kindlasti vasakpoolne,100%,Kindlasti parempoolne,100%,Kindlasti vasakpoolne,100%,Pigem ei,40%,Kindlasti jah,100%
4/26/2020 14:20:23,8 / 10,31,N,Magistrikraad,Ei,Ei,"Jah, kindlasti",80%,Pigem ei,30%,"Jah, kindlasti",80%,Pigem ei,40%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem ei,50%,Pigem jah,50%
4/26/2020 15:21:44,6 / 10,24,N,Bakalaureusekraad,Ei,Ei,Pigem jah,60%,Pigem ei,50%,Pigem ei,50%,Pigem ei,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Pigem ei,50%,Pigem jah,50%
4/26/2020 15:38:39,7 / 10,54,M,Magistrikraad,Ei,Ei,"Jah, kindlasti",80%,Pigem ei,20%,Kindlasti mitte,0%,Pigem ei,20%,Pigem parempoolne,60%,Pigem vasakpoolne,80%,Pigem vasakpoolne,70%,Pigem vasakpoolne,80%,Pigem ei,80%,Pigem jah,80%
4/26/2020 17:07:11,7 / 10,30,M,Keskharidus,Ei,Ei,Pigem jah,80%,Pigem jah,80%,Pigem jah,80%,Pigem jah,90%,Pigem vasakpoolne,80%,Pigem vasakpoolne,70%,Pigem parempoolne,60%,Pigem parempoolne,60%,Pigem ei,50%,Pigem jah,70%
4/26/2020 17:11:23,5 / 10,51,M,Bakalaureusekraad,Ei,Ei,"Jah, kindlasti",60%,Pigem jah,60%,Pigem jah,60%,Pigem jah,70%,Pigem vasakpoolne,40%,Pigem parempoolne,30%,Kindlasti vasakpoolne,60%,Kindlasti vasakpoolne,30%,Pigem jah,30%,Pigem jah,20%
4/26/2020 20:09:54,6 / 10,30,M,Keskharidus,Ei,Ei,Pigem jah,80%,Pigem ei,40%,Pigem jah,60%,Pigem jah,50%,Kindlasti vasakpoolne,70%,Pigem vasakpoolne,60%,Pigem vasakpoolne,70%,Pigem parempoolne,30%,Pigem jah,60%,Pigem jah,70%
4/26/2020 20:10:36,8 / 10,50,M,Magistrikraad,Ei,Ei,Pigem jah,50%,Pigem ei,60%,Pigem jah,40%,Pigem ei,30%,Pigem vasakpoolne,40%,Ma ei tea,40%,Pigem parempoolne,50%,Pigem parempoolne,60%,Pigem ei,40%,Pigem jah,50%
4/26/2020 20:42:39,2 / 10,14,M,Põhiharidus,Jah,Ei,Pigem ei,50%,Pigem jah,50%,"Jah, kindlasti",80%,Kindlasti mitte,50%,Kindlasti parempoolne,40%,Kindlasti parempoolne,100%,Pigem vasakpoolne,50%,Kindlasti parempoolne,0%,Pigem jah,60%,Pigem ei,40%
4/26/2020 22:22:18,4 / 10,55,N,Magistrikraad,Ei,Ei,Pigem jah,50%,Pigem ei,30%,Pigem ei,20%,Pigem jah,50%,Pigem parempoolne,50%,Kindlasti vasakpoolne,40%,Kindlasti vasakpoolne,30%,Pigem parempoolne,40%,Pigem ei,40%,Pigem ei,20%
4/26/2020 23:36:55,4 / 10,19,M,Keskharidus,Ei,Ei,Pigem jah,70%,Pigem ei,60%,Pigem ei,40%,Pigem jah,80%,Pigem parempoolne,40%,Pigem vasakpoolne,70%,Pigem vasakpoolne,70%,Pigem vasakpoolne,80%,Ma ei tea,50%,Ma ei tea,50%
4/27/2020 1:07:48,9 / 10,56,N,Doktorikraad,Ei,Ei,Kindlasti mitte,40%,Kindlasti mitte,30%,"Jah, kindlasti",50%,Kindlasti mitte,70%,Kindlasti vasakpoolne,30%,Kindlasti vasakpoolne,50%,Kindlasti parempoolne,60%,Kindlasti vasakpoolne,50%,Kindlasti ei,20%,Kindlasti jah,60%
4/27/2020 2:00:48,4 / 10,28,N,Magistrikraad,Ei,Ei,Pigem ei,80%,Pigem ei,60%,Pigem ei,50%,Pigem jah,80%,Pigem vasakpoolne,30%,Pigem parempoolne,40%,Pigem vasakpoolne,50%,Pigem parempoolne,70%,Pigem ei,30%,Pigem jah,70%
4/27/2020 14:45:14,6 / 10,25,N,Bakalaureusekraad,Ei,Ei,Pigem jah,90%,Kindlasti mitte,10%,Pigem ei,10%,"Jah, kindlasti",80%,Pigem parempoolne,80%,Pigem vasakpoolne,80%,Kindlasti vasakpoolne,70%,Pigem vasakpoolne,70%,Pigem ei,80%,Pigem jah,80%
4/27/2020 14:51:23,6 / 10,20,N,Keskharidus,Ei,Ei,Pigem ei,70%,Pigem jah,90%,Pigem jah,80%,Kindlasti mitte,30%,Pigem parempoolne,30%,Kindlasti vasakpoolne,100%,Pigem vasakpoolne,60%,Kindlasti vasakpoolne,70%,Pigem ei,30%,Pigem jah,50%
4/27/2020 16:52:30,7 / 10,55,N,Doktorikraad,Ei,Ei,Pigem ei,30%,Pigem ei,40%,Pigem jah,50%,Pigem jah,40%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Pigem vasakpoolne,60%,Pigem vasakpoolne,60%,Pigem ei,20%,Pigem jah,60%
4/27/2020 18:17:28,7 / 10,41,N,Magistrikraad,Ei,Ei,Pigem ei,50%,Pigem ei,50%,"Jah, kindlasti",70%,Pigem ei,60%,Kindlasti parempoolne,70%,Pigem vasakpoolne,60%,Pigem parempoolne,60%,Pigem vasakpoolne,50%,Pigem ei,50%,Pigem ei,50%
4/27/2020 19:07:03,7 / 10,49,N,Magistrikraad,Ei,Ei,Pigem jah,80%,Pigem jah,70%,Pigem jah,60%,Pigem ei,70%,Pigem parempoolne,40%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Kindlasti vasakpoolne,70%,Pigem ei,80%,Pigem ei,60%
4/28/2020 0:08:02,7 / 10,34,N,Magistrikraad,Ei,Ei,Pigem jah,80%,Pigem ei,80%,Pigem jah,70%,Pigem ei,70%,Kindlasti parempoolne,20%,Pigem vasakpoolne,50%,Pigem vasakpoolne,70%,Pigem vasakpoolne,70%,Pigem jah,50%,Pigem jah,70%
4/28/2020 11:00:54,3 / 10,12,M,Põhiharidus,Ei,Ei,Kindlasti mitte,10%,Pigem ei,60%,Pigem ei,30%,Pigem jah,50%,Pigem parempoolne,60%,Pigem vasakpoolne,40%,Pigem vasakpoolne,50%,Pigem parempoolne,20%,Pigem jah,70%,Kindlasti jah,30%
4/28/2020 14:04:06,4 / 10,30,N,Magistrikraad,Ei,Ei,"Jah, kindlasti",100%,Pigem jah,90%,Ma ei tea,80%,Pigem ei,80%,Pigem parempoolne,60%,Pigem parempoolne,50%,Kindlasti vasakpoolne,80%,Kindlasti vasakpoolne,80%,Ma ei tea,50%,Pigem jah,100%
