Timestamp,Score,Teie vanus,Teie sugu,Kõrgeim omandatud haridustase,Kas te olete kunagi õppinud või töötanud tehisintellekti valdkonnas?,Kas olete sarnast testi varem teinud?,"Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kas see teos on inimese loodud?,"Kui paljud inimesed teie arvates vastavad, et selle teose on loonud inimene? [Ma ütleks...]",Kas see teos on inimese loodud?,"Kui paljud inimesed teie arvates vastavad, et selle teose on loonud inimene? [Ma ütleks...]"
4/21/2020 18:33:44,6 / 10,24,N,BSc,Ei,Ei,"Jah, kindlasti",90%,"Jah, kindlasti",90%,"Jah, kindlasti",90%,"Jah, kindlasti",90%,Pigem vasakpoolne,70%,Kindlasti parempoolne,40%,Pigem parempoolne,40%,Pigem parempoolne,50%,Pigem jah,50%,Pigem jah,60%
4/21/2020 19:50:20,8 / 10,38,N,MSc,Ei,Ei,"Jah, kindlasti",70%,Pigem jah,60%,Pigem ei,50%,"Jah, kindlasti",80%,Kindlasti vasakpoolne,80%,Kindlasti parempoolne,80%,Kindalsti parempoolne,70%,Pigem parempoolne,60%,Kindlasti mitte,40%,Pigem jah,80%
4/21/2020 21:33:00,3 / 10,49,M,MSc,Jah,Ei,Pigem ei,70%,Pigem jah,70%,Pigem ei,50%,Pigem ei,70%,Pigem parempoolne,10%,Pigem vasakpoolne,80%,Ma ei tea,50%,Pigem parempoolne,50%,Pigem ei,60%,Pigem jah,80%
4/21/2020 22:19:47,9 / 10,40,M,BSc,Ei,Ei,Pigem jah,90%,Kindlasti mitte,30%,Pigem ei,30%,Pigem jah,60%,Pigem vasakpoolne,60%,Pigem parempoolne,70%,Pigem vasakpoolne,40%,Pigem vasakpoolne,70%,Kindlasti mitte,20%,"Jah, kindlasti",80%
4/21/2020 22:41:25,6 / 10,39,M,BSc,Ei,Ei,Pigem ei,80%,Pigem jah,80%,Pigem ei,80%,Pigem ei,70%,Pigem vasakpoolne,80%,Pigem parempoolne,60%,Pigem parempoolne,30%,Pigem parempoolne,30%,Kindlasti mitte,50%,"Jah, kindlasti",90%
4/21/2020 23:44:33,6 / 10,31,N,PhD,Ei,Ei,Pigem jah,90%,Pigem ei,40%,Pigem ei,40%,Pigem ei,40%,Pigem vasakpoolne,70%,Kindlasti vasakpoolne,100%,Pigem vasakpoolne,70%,Pigem parempoolne,30%,Pigem ei,40%,Pigem jah,70%
4/22/2020 9:54:32,6 / 10,42,M,BSc,Ei,Ei,Pigem ei,60%,"Jah, kindlasti",90%,Pigem ei,30%,Pigem jah,80%,Pigem parempoolne,30%,Pigem parempoolne,60%,Pigem parempoolne,30%,Pigem parempoolne,30%,Kindlasti mitte,10%,"Jah, kindlasti",80%
4/22/2020 11:12:08,7 / 10,51,N,MSc,Ei,Ei,Pigem jah,70%,Pigem jah,80%,Pigem ei,40%,Pigem ei,40%,Pigem vasakpoolne,50%,Pigem vasakpoolne,70%,Pigem parempoolne,50%,Pigem vasakpoolne,60%,Pigem ei,50%,Pigem jah,60%
4/22/2020 11:43:00,7 / 10,59,M,MSc,Ei,Ei,Pigem jah,80%,Pigem ei,50%,Ma ei tea,50%,Pigem jah,70%,Pigem parempoolne,70%,Pigem parempoolne,80%,Pigem parempoolne,80%,Ma ei tea,50%,Pigem ei,20%,Pigem jah,70%
4/22/2020 19:20:30,7 / 10,36,N,MSc,Ei,Ei,Pigem ei,60%,Pigem jah,60%,Pigem ei,50%,Pigem jah,60%,Pigem vasakpoolne,70%,Pigem parempoolne,50%,Pigem parempoolne,60%,Kindlasti parempoolne,80%,Pigem ei,60%,Pigem jah,60%
4/22/2020 22:22:07,7 / 10,28,M,BSc,Ei,Ei,Pigem jah,70%,"Jah, kindlasti",90%,Pigem ei,50%,"Jah, kindlasti",80%,Kindlasti vasakpoolne,90%,Pigem vasakpoolne,50%,Pigem parempoolne,70%,Kindlasti parempoolne,100%,Kindlasti mitte,40%,"Jah, kindlasti",60%
4/23/2020 7:47:31,8 / 10,49,M,MSc,Ei,Ei,Pigem jah,70%,Pigem jah,50%,Pigem ei,40%,Pigem jah,60%,Pigem vasakpoolne,80%,Pigem parempoolne,80%,Pigem parempoolne,60%,Kindlasti parempoolne,60%,Pigem ei,30%,Pigem jah,80%
4/23/2020 8:20:00,8 / 10,58,M,MSc,Ei,Ei,Pigem jah,70%,Pigem ei,30%,Pigem ei,20%,Pigem jah,60%,Kindlasti vasakpoolne,80%,Kindlasti parempoolne,80%,Kindalsti parempoolne,70%,Pigem parempoolne,60%,Pigem jah,50%,Pigem jah,70%
4/23/2020 10:42:04,6 / 10,34,M,Keskharidus,Ei,Ei,Pigem jah,60%,Pigem ei,50%,Kindlasti mitte,30%,Pigem jah,60%,Pigem parempoolne,50%,Pigem parempoolne,30%,Kindlasti vasakpoolne,70%,Pigem parempoolne,30%,Pigem ei,20%,Ma ei tea,50%
4/23/2020 10:47:02,8 / 10,38,N,PhD,Ei,Ei,Pigem jah,80%,Pigem ei,40%,Pigem ei,30%,Pigem jah,70%,Pigem parempoolne,20%,Pigem parempoolne,80%,Pigem parempoolne,70%,Pigem parempoolne,20%,Pigem ei,20%,Pigem jah,70%
4/23/2020 12:07:06,5 / 10,38,M,BSc,Ei,Ei,Pigem ei,70%,Pigem jah,80%,Pigem ei,30%,Pigem ei,50%,Kindlasti parempoolne,40%,Kindlasti parempoolne,60%,Kindlasti vasakpoolne,80%,Pigem vasakpoolne,70%,Kindlasti mitte,30%,"Jah, kindlasti",100%
4/23/2020 14:06:44,3 / 10,34,N,BSc,Ei,Ei,Pigem ei,60%,Pigem jah,60%,Pigem ei,50%,Pigem jah,50%,Pigem parempoolne,30%,Pigem vasakpoolne,30%,Pigem vasakpoolne,60%,Pigem parempoolne,20%,Pigem jah,60%,"Jah, kindlasti",80%
4/23/2020 14:11:55,8 / 10,45,M,MSc,Ei,Ei,Pigem jah,40%,Pigem jah,60%,Kindlasti mitte,50%,Pigem jah,60%,Kindlasti parempoolne,80%,Pigem parempoolne,50%,Pigem parempoolne,60%,Pigem vasakpoolne,40%,Pigem ei,60%,Pigem jah,60%
4/23/2020 16:37:17,5 / 10,30,N,BSc,Jah,Ei,Pigem ei,40%,Pigem jah,60%,Pigem ei,60%,Pigem jah,70%,Pigem vasakpoolne,60%,Pigem vasakpoolne,50%,Pigem parempoolne,60%,Pigem parempoolne,60%,Pigem ei,20%,Pigem ei,50%
4/23/2020 17:34:22,9 / 10,59,N,Keskharidus,Ei,Ei,Pigem jah,70%,Pigem ei,40%,Pigem ei,50%,Pigem jah,70%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,70%,Pigem parempoolne,70%,Pigem ei,70%,Pigem jah,90%
4/23/2020 20:52:49,9 / 10,37,N,MSc,Ei,Ei,Pigem jah,70%,Pigem jah,80%,Pigem ei,80%,Pigem jah,80%,Kindlasti vasakpoolne,80%,Pigem parempoolne,70%,Pigem parempoolne,70%,Pigem vasakpoolne,70%,Kindlasti mitte,80%,Pigem jah,80%
4/23/2020 21:02:02,3 / 10,17,M,Põhiharidus,Ei,Ei,Pigem ei,40%,"Jah, kindlasti",60%,Pigem jah,70%,Kindlasti mitte,20%,Pigem vasakpoolne,50%,Kindlasti vasakpoolne,30%,Pigem vasakpoolne,60%,Pigem parempoolne,40%,Pigem ei,80%,Pigem jah,90%
4/23/2020 21:23:42,8 / 10,49,M,BSc,Jah,Jah,Pigem ei,50%,"Jah, kindlasti",50%,Pigem ei,50%,"Jah, kindlasti",50%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Kindlasti mitte,50%,Pigem jah,50%
4/24/2020 4:58:46,7 / 10,44,M,Keskharidus,Ei,Ei,Pigem ei,80%,Pigem ei,70%,Pigem ei,80%,Pigem jah,50%,Pigem vasakpoolne,40%,Pigem vasakpoolne,30%,Pigem parempoolne,50%,Pigem parempoolne,70%,Pigem ei,60%,Pigem jah,30%
4/24/2020 10:29:31,5 / 10,37,N,PhD,Ei,Ei,Pigem ei,40%,Pigem jah,40%,Pigem jah,40%,Pigem ei,20%,Pigem vasakpoolne,40%,Pigem parempoolne,60%,Pigem parempoolne,40%,Pigem parempoolne,40%,Pigem ei,40%,Pigem jah,40%
4/24/2020 11:42:55,8 / 10,36,M,Keskharidus,Ei,Ei,Pigem jah,60%,Pigem ei,20%,Pigem ei,20%,"Jah, kindlasti",90%,Pigem vasakpoolne,80%,Pigem vasakpoolne,80%,Kindalsti parempoolne,90%,Pigem parempoolne,20%,Pigem ei,20%,Pigem jah,60%
4/24/2020 15:09:13,9 / 10,31,M,BSc,Ei,Ei,Pigem jah,70%,Pigem ei,60%,Pigem ei,70%,Pigem jah,50%,Pigem vasakpoolne,50%,Pigem vasakpoolne,60%,Pigem parempoolne,70%,Pigem vasakpoolne,50%,Pigem ei,70%,Pigem jah,40%
4/24/2020 16:18:23,5 / 10,27,N,MSc,Ei,Ei,Pigem jah,80%,"Jah, kindlasti",80%,"Jah, kindlasti",80%,"Jah, kindlasti",100%,Kindlasti parempoolne,40%,Kindlasti vasakpoolne,60%,Kindalsti parempoolne,70%,Kindlasti parempoolne,60%,Pigem ei,30%,Pigem jah,70%
4/24/2020 16:33:30,7 / 10,42,N,BSc,Ei,Ei,Pigem ei,50%,Pigem jah,50%,Pigem ei,70%,Pigem jah,80%,Pigem vasakpoolne,50%,Pigem parempoolne,40%,Pigem parempoolne,60%,Pigem parempoolne,40%,Pigem ei,20%,Pigem jah,50%
4/24/2020 20:49:21,6 / 10,58,N,MSc,Ei,Ei,Pigem ei,50%,Ma ei tea,40%,Pigem ei,50%,"Jah, kindlasti",60%,Pigem vasakpoolne,60%,Pigem parempoolne,50%,Pigem parempoolne,40%,Kindlasti parempoolne,50%,Pigem jah,40%,Pigem jah,30%
4/24/2020 21:35:53,4 / 10,30,M,BSc,Ei,Ei,Pigem ei,20%,Ma ei tea,0%,"Jah, kindlasti",20%,"Jah, kindlasti",10%,Kindlasti parempoolne,20%,Kindlasti parempoolne,10%,Pigem vasakpoolne,10%,Kindlasti parempoolne,10%,Kindlasti mitte,10%,Pigem jah,10%
4/25/2020 0:33:31,7 / 10,55,N,MSc,Ei,Jah,Pigem jah,70%,Pigem jah,50%,Pigem jah,60%,Pigem ei,50%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem vasakpoolne,40%,Pigem ei,50%,Pigem jah,50%
4/25/2020 11:40:24,8 / 10,40,N,BSc,Ei,Ei,"Jah, kindlasti",80%,"Jah, kindlasti",90%,Pigem ei,80%,Pigem jah,70%,Kindlasti vasakpoolne,70%,Pigem parempoolne,70%,Pigem parempoolne,60%,Pigem parempoolne,60%,Pigem ei,70%,Pigem jah,50%
4/25/2020 12:29:01,7 / 10,49,M,Keskharidus,Ei,Ei,Pigem jah,80%,Pigem jah,80%,Pigem ei,50%,Pigem jah,70%,Pigem vasakpoolne,50%,Pigem parempoolne,40%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem ei,50%,Pigem jah,50%
4/25/2020 12:48:40,8 / 10,29,N,MSc,Ei,Ei,Pigem jah,60%,Pigem ei,50%,Pigem ei,60%,Pigem jah,60%,Pigem parempoolne,70%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,40%,Kindlasti mitte,10%,Pigem jah,50%
4/25/2020 13:17:29,7 / 10,36,M,BSc,Ei,Ei,Pigem jah,70%,"Jah, kindlasti",80%,Pigem ei,70%,"Jah, kindlasti",70%,Pigem vasakpoolne,70%,Pigem vasakpoolne,80%,Ma ei tea,50%,Pigem vasakpoolne,70%,Pigem ei,20%,Pigem jah,70%
4/25/2020 14:05:42,4 / 10,20,N,Keskharidus,Ei,Ei,Pigem ei,80%,Pigem jah,90%,Pigem ei,60%,Pigem jah,60%,Pigem vasakpoolne,70%,Pigem vasakpoolne,70%,Pigem vasakpoolne,70%,Pigem parempoolne,50%,Pigem ei,40%,Pigem ei,60%
4/25/2020 14:43:25,8 / 10,30,N,BSc,Jah,Ei,Pigem ei,50%,Pigem ei,20%,Pigem jah,70%,"Jah, kindlasti",70%,Pigem vasakpoolne,50%,Pigem parempoolne,10%,Pigem parempoolne,40%,Pigem vasakpoolne,40%,Pigem ei,30%,Pigem jah,50%
4/25/2020 15:38:07,9 / 10,32,N,MSc,Jah,Ei,Pigem jah,80%,Kindlasti mitte,20%,Pigem ei,50%,"Jah, kindlasti",100%,Kindlasti parempoolne,70%,Kindlasti parempoolne,100%,Kindalsti parempoolne,80%,Pigem vasakpoolne,40%,Pigem ei,80%,"Jah, kindlasti",80%
4/25/2020 18:27:17,7 / 10,25,M,MSc,Ei,Ei,"Jah, kindlasti",90%,"Jah, kindlasti",90%,Pigem ei,70%,Pigem jah,60%,Kindlasti parempoolne,50%,Pigem parempoolne,50%,Kindalsti parempoolne,50%,Pigem parempoolne,60%,Pigem ei,50%,"Jah, kindlasti",70%
4/25/2020 18:50:11,4 / 10,23,N,Keskharidus,Ei,Ei,Pigem ei,60%,Pigem jah,50%,Pigem ei,30%,Pigem jah,60%,Pigem parempoolne,40%,Pigem vasakpoolne,50%,Pigem vasakpoolne,40%,Pigem vasakpoolne,50%,Pigem ei,30%,Ma ei tea,40%
4/25/2020 20:01:52,8 / 10,43,M,BSc,Ei,Ei,Pigem jah,80%,Pigem jah,80%,Pigem jah,80%,Pigem jah,80%,Pigem vasakpoolne,70%,Kindlasti parempoolne,80%,Kindalsti parempoolne,90%,Pigem vasakpoolne,60%,Pigem ei,50%,Pigem jah,60%
4/26/2020 12:06:55,4 / 10,40,N,MSc,Ei,Ei,Pigem jah,50%,Pigem jah,40%,Pigem ei,50%,Pigem ei,40%,Pigem vasakpoolne,50%,Ma ei tea,50%,Pigem vasakpoolne,60%,Pigem parempoolne,60%,Pigem ei,50%,Ma ei tea,50%
4/26/2020 12:27:48,6 / 10,22,N,Keskharidus,Jah,Ei,Pigem jah,50%,Pigem jah,70%,Pigem ei,40%,Pigem jah,60%,Pigem vasakpoolne,60%,Pigem vasakpoolne,60%,Pigem parempoolne,30%,Pigem parempoolne,30%,Kindlasti mitte,10%,Pigem ei,50%
4/26/2020 12:35:49,8 / 10,27,M,BSc,Ei,Ei,Pigem ei,80%,Pigem ei,60%,Kindlasti mitte,70%,"Jah, kindlasti",80%,Pigem vasakpoolne,60%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem vasakpoolne,70%,Kindlasti mitte,30%,"Jah, kindlasti",60%
4/26/2020 14:24:21,6 / 10,50,M,MSc,Jah,Ei,Pigem ei,70%,Pigem ei,50%,Pigem ei,60%,Pigem jah,80%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Pigem vasakpoolne,60%,Ma ei tea,50%,Pigem ei,70%,Pigem jah,70%
4/26/2020 14:39:57,8 / 10,42,N,BSc,Ei,Ei,Pigem jah,80%,Pigem jah,80%,Pigem ei,60%,Pigem jah,80%,Pigem vasakpoolne,70%,Pigem parempoolne,40%,Pigem parempoolne,60%,Pigem parempoolne,70%,Pigem ei,50%,Pigem jah,70%
4/26/2020 15:52:43,5 / 10,39,N,MSc,Ei,Ei,Pigem jah,70%,Pigem jah,70%,Kindlasti mitte,10%,Pigem ei,20%,Pigem parempoolne,50%,Kindlasti vasakpoolne,70%,Pigem parempoolne,40%,Pigem parempoolne,60%,Pigem ei,20%,Pigem jah,60%
4/26/2020 16:31:31,6 / 10,35,M,BSc,Ei,Ei,Pigem jah,60%,Pigem ei,50%,Pigem ei,40%,Pigem jah,70%,Kindlasti vasakpoolne,50%,Pigem vasakpoolne,40%,Kindlasti vasakpoolne,40%,Kindlasti parempoolne,50%,Pigem jah,50%,Pigem jah,50%
4/26/2020 16:57:40,8 / 10,32,N,MSc,Ei,Ei,Pigem ei,90%,Kindlasti mitte,70%,Kindlasti mitte,80%,Pigem jah,80%,Pigem vasakpoolne,60%,Kindlasti vasakpoolne,60%,Kindalsti parempoolne,60%,Kindlasti vasakpoolne,70%,Kindlasti mitte,80%,"Jah, kindlasti",80%
4/26/2020 17:42:31,7 / 10,34,M,BSc,Ei,Ei,Pigem ei,60%,Pigem jah,70%,Pigem ei,30%,"Jah, kindlasti",90%,Kindlasti vasakpoolne,80%,Pigem vasakpoolne,80%,Pigem parempoolne,30%,Pigem vasakpoolne,50%,Pigem ei,30%,Pigem jah,70%
4/26/2020 17:56:40,9 / 10,44,M,BSc,Ei,Ei,Pigem jah,70%,Pigem ei,70%,Pigem jah,30%,"Jah, kindlasti",70%,Kindlasti vasakpoolne,80%,Pigem parempoolne,60%,Pigem parempoolne,30%,Pigem vasakpoolne,50%,Pigem ei,30%,Pigem jah,80%
4/26/2020 18:10:13,7 / 10,33,N,BSc,Ei,Ei,Pigem jah,90%,Pigem ei,50%,Pigem ei,80%,Pigem jah,80%,Pigem parempoolne,70%,Pigem parempoolne,80%,Kindlasti vasakpoolne,80%,Pigem parempoolne,80%,Kindlasti mitte,80%,Pigem jah,80%
4/26/2020 18:25:06,7 / 10,30,N,BSc,Ei,Ei,Pigem ei,80%,Pigem ei,80%,Pigem ei,60%,"Jah, kindlasti",90%,Kindlasti vasakpoolne,90%,Pigem parempoolne,60%,Kindalsti parempoolne,40%,Kindlasti parempoolne,50%,Pigem ei,40%,Pigem ei,60%
4/26/2020 18:55:01,6 / 10,29,N,BSc,Ei,Ei,"Jah, kindlasti",60%,Pigem ei,40%,Ma ei tea,50%,"Jah, kindlasti",70%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Pigem vasakpoolne,40%,Ma ei tea,60%,Pigem ei,50%,Pigem jah,70%
4/26/2020 20:38:36,7 / 10,36,N,MSc,Ei,Ei,Pigem ei,40%,Pigem jah,60%,Pigem ei,50%,Pigem jah,60%,Pigem vasakpoolne,40%,Pigem vasakpoolne,30%,Pigem parempoolne,20%,Pigem vasakpoolne,40%,Pigem ei,20%,Pigem jah,60%
4/26/2020 23:15:47,4 / 10,47,N,BSc,Ei,Ei,Ma ei tea,70%,Pigem jah,70%,Pigem jah,60%,Pigem jah,70%,Ma ei tea,70%,Ma ei tea,50%,Pigem parempoolne,70%,Pigem parempoolne,70%,Pigem ei,20%,Pigem jah,80%
4/26/2020 23:18:25,9 / 10,31,N,MSc,Ei,Ei,Pigem jah,80%,Pigem ei,60%,Pigem ei,50%,"Jah, kindlasti",90%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem ei,90%,"Jah, kindlasti",90%
4/26/2020 23:49:40,7 / 10,55,N,PhD,Jah,Ei,Pigem jah,50%,Pigem jah,50%,Pigem ei,20%,Pigem ei,30%,Pigem vasakpoolne,40%,Pigem parempoolne,50%,Pigem parempoolne,20%,Pigem parempoolne,30%,Kindlasti mitte,20%,Pigem jah,50%
4/27/2020 0:26:07,8 / 10,41,N,BSc,Ei,Ei,Pigem ei,30%,Pigem jah,60%,Pigem ei,40%,Pigem jah,80%,Pigem vasakpoolne,80%,Pigem parempoolne,20%,Pigem parempoolne,30%,Pigem vasakpoolne,80%,Pigem ei,10%,Pigem jah,60%
4/27/2020 0:27:48,6 / 10,41,M,BSc,Ei,Ei,Pigem ei,10%,Kindlasti mitte,10%,Kindlasti mitte,30%,Kindlasti mitte,10%,Kindlasti vasakpoolne,20%,Kindlasti vasakpoolne,10%,Kindlasti vasakpoolne,60%,Kindlasti vasakpoolne,20%,Kindlasti mitte,0%,"Jah, kindlasti",80%
4/27/2020 0:36:10,5 / 10,32,N,Keskharidus,Ei,Ei,Pigem ei,70%,Kindlasti mitte,60%,Pigem ei,60%,Kindlasti mitte,40%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Kindlasti parempoolne,70%,Pigem ei,50%,Pigem jah,60%
4/27/2020 12:09:33,5 / 10,26,N,Keskharidus,Ei,Ei,Pigem ei,70%,Pigem jah,60%,Pigem ei,70%,Pigem ei,50%,Pigem vasakpoolne,60%,Pigem vasakpoolne,40%,Pigem parempoolne,50%,Pigem parempoolne,70%,Pigem ei,60%,Pigem jah,80%
4/27/2020 12:28:50,5 / 10,22,N,Keskharidus,Ei,Ei,Pigem jah,80%,Kindlasti mitte,40%,Pigem ei,40%,Pigem jah,90%,Kindlasti parempoolne,50%,Pigem vasakpoolne,30%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Kindlasti mitte,70%,Pigem ei,60%
4/27/2020 17:19:56,4 / 10,23,N,BSc,Ei,Ei,Pigem jah,90%,Pigem jah,90%,Pigem jah,80%,Pigem ei,30%,Pigem parempoolne,80%,Pigem parempoolne,70%,Pigem vasakpoolne,80%,Ma ei tea,50%,Pigem ei,30%,Pigem jah,80%
4/27/2020 17:26:37,7 / 10,49,N,MSc,Jah,Ei,Pigem jah,70%,Pigem jah,70%,Pigem ei,60%,Pigem jah,60%,Pigem vasakpoolne,30%,Pigem vasakpoolne,60%,Pigem parempoolne,40%,Pigem parempoolne,70%,Pigem ei,20%,Pigem jah,30%
4/27/2020 21:46:35,4 / 10,46,M,MSc,Ei,Ei,Ma ei tea,70%,Ma ei tea,50%,Pigem ei,50%,Pigem ei,50%,Pigem vasakpoolne,50%,Kindlasti vasakpoolne,70%,Pigem parempoolne,50%,Pigem parempoolne,60%,Pigem ei,50%,Pigem ei,50%
